code,title,description,parts,cost_min,cost_max,severity
P0420,Catalyst system efficiency below threshold,Your car’s exhaust system is not cleaning emissions as well as it should.,"O2 sensor; catalytic converter",80,200,check_soon
P0301,Cylinder 1 misfire detected,One of your engine cylinders is not firing properly.,"Spark plug; ignition coil",60,250,check_soon
P0300,Random/multiple cylinder misfire detected,The engine computer has detected misfires in multiple cylinders.,"Spark plugs; ignition coils; fuel injectors",100,400,check_soon
P0171,System too lean (Bank 1),The engine is running with too much air and not enough fuel on bank 1.,"Mass air flow sensor; vacuum leaks; fuel pump",120,500,check_soon
P0135,O2 sensor heater circuit malfunction (Bank 1 Sensor 1),The heater in the upstream oxygen sensor is not working properly,"Upstream O2 sensor; wiring; fuse",90,250,check_soon
P0442,Evaporative emission system leak detected (small leak),The EVAP system has detected a small leak in the fuel vapor system.,"Gas cap; EVAP hoses; purge valve",50,200,check_later
P0101,Mass or Volume Air Flow Circuit Range/Performance Problem,The mass air flow sensor signal is out of expected range.,Mass air flow sensor; intake hose; wiring,120,400,check_soon
P0113,Intake Air Temperature Sensor 1 Circuit High Input,The intake air temperature sensor is reading an abnormally high value.,Intake air temp sensor; wiring; connector,80,250,check_later
P0128,Coolant Thermostat Below Regulating Temperature,The engine is not reaching proper operating temperature.,Thermostat; coolant temperature sensor,120,350,check_later
P0130,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1),The upstream oxygen sensor is not sending a proper signal.,Upstream O2 sensor; wiring; exhaust leak,90,300,check_soon
P0172,System Too Rich (Bank 1),The engine is running with too much fuel on bank 1.,Fuel injectors; fuel pressure regulator; MAF sensor,150,600,check_soon
P0174,System Too Lean (Bank 2),The engine is running too lean on bank 2.,Vacuum leaks; MAF sensor; fuel pump,150,600,check_soon
P0302,Cylinder 2 Misfire Detected,Cylinder 2 is not firing correctly.,Spark plug; ignition coil; fuel injector,80,350,check_soon
P0303,Cylinder 3 Misfire Detected,Cylinder 3 is not firing correctly.,Spark plug; ignition coil; fuel injector,80,350,check_soon
P0304,Cylinder 4 Misfire Detected,Cylinder 4 is not firing correctly.,Spark plug; ignition coil; fuel injector,80,350,check_soon
P0401,Exhaust Gas Recirculation Flow Insufficient Detected,The EGR system is not flowing enough exhaust gas.,EGR valve; EGR passages; vacuum hoses,150,500,check_later
P0440,Evaporative Emission System Malfunction,The EVAP system has a general fault.,Gas cap; EVAP hoses; purge valve,50,250,check_later
P0446,Evaporative Emission System Vent Control Circuit,The EVAP vent control circuit is not working properly.,EVAP vent valve; wiring; charcoal canister,80,300,check_later
P0455,Evaporative Emission System Leak Detected (Large Leak),The EVAP system has detected a large vapor leak.,Gas cap; EVAP hoses; filler neck,50,250,check_later
P0500,Vehicle Speed Sensor A Malfunction,The vehicle speed signal is missing or incorrect.,Vehicle speed sensor; wiring; instrument cluster,120,400,check_soon
P0700,Transmission Control System Malfunction,The transmission control system has reported a fault.,Transmission control module; wiring; transmission sensors,200,800,check_soon
P0715,Input/Turbine Speed Sensor Circuit Malfunction,The transmission input speed sensor signal is faulty.,Input speed sensor; wiring; transmission control module,150,600,check_soon
P0720,Output Speed Sensor Circuit Malfunction,The transmission output speed sensor signal is faulty.,Output speed sensor; wiring; transmission control module,150,600,check_soon
P0740,Torque Converter Clutch Circuit Malfunction,The torque converter clutch is not engaging or disengaging correctly.,Torque converter clutch solenoid; transmission fluid; wiring,250,900,check_soon
P2101,Throttle Actuator Control Motor Circuit Range/Performance,The throttle body motor is not responding as expected.,Electronic throttle body; wiring; PCM,250,900,check_soon
P2187,System Too Lean at Idle (Bank 1),The engine is running too lean at idle on bank 1.,Vacuum leaks; PCV valve; fuel system,120,500,check_soon
B0020,Front Passenger Airbag Deployment Circuit High,The airbag control module detects a high resistance or open circuit in the front passenger airbag circuit.,Passenger airbag module; clock spring; wiring,250,900,check_soon
B1200,Climate Control Pushbutton Circuit Failure,The climate control panel is not reading a button input correctly.,HVAC control panel; button/board; wiring,150,600,check_later
B1422,Headlamp Switch Circuit Open,The control module cannot see a proper signal from the headlamp switch.,Headlight switch; wiring; connector,80,300,check_later
B2725,Remote Keyless Entry Transmitter Battery Low,The key fob battery voltage is too low.,Key fob battery; key fob,10,80,check_later
B3925,Rear Wiper Run Relay Circuit Short to Battery,The rear wiper relay circuit is shorted to power.,Rear wiper relay; wiring; wiper motor,120,400,check_later
